index,input_text,given_label
22838,His being given this character is almost a chance to make right how DC fucked themselves up on their relaunch and how they were really shitty to their female readers.,0.89946777
4768,The girl was sitting at a Charman Rd bus stop at 4.17pm when she was approached by a crossdresser who threw faeces and urine at her.,0.5663208
18992,"But we can't always get what we want, so order something else, put it in your pie hole and get on with your damn life.",0.92485046
20901,"These were a group of punks that had no compunctions against smoking, drinking and fucking, thank you very much.",0.90551084
6219,"Something strange happened to me while in my third hour of binge-watching The Punisher, Marvel’s latest Netflix series: instead of rooting for my action hero protagonist to kick a ton of ass, I was instead deeply saddened to watch him do so.",0.8028341
4837,"There were more than 5,800 search results for ""rape"" and 6,100 for ""sexual assault"", with some emails showing descriptions such as ""Driver sexually assaulted me"".",0.50722295
9,She is also accused of hurling abuse and expletives at Mr Muzayyin with intent to harass him that morning.,0.5412335
22443,"This is also his profile picture on Twitter, because of course it's his fucking profile picture on Twitter.",0.86932313
11736,"Authorities say they shattered her eye sockets, strangled her, broke her neck bone, raped her, and left her for dead.",0.83785176
7113,"Matthieu, who grew up in New Orleans and plays for the Arizona Cardinals, indicated on his Twitter account that he knew Hayes, 28, and tweeted, “… he been a hating (expletive) coward ....",0.7818288
19963,These SORs are the seed that contains the entire tree of the homosexual agenda with all of its poisonous fruit.,0.7803786
22908,"We were very surprised to find out that the FOUNDER OF CAPITALISM, who died 28 years before Karl Marx was born, was a dirty, stinking commie.",0.7888045
21346,"The signs read ""Trump: Keepin it real"" and ""Obama threw our black ass under the bus.",0.9522953
1107,It’s been two months already and we are still a long way from cleansing the horrid and shameless ways of the Hindi television.,0.53129786
6851,"Well, it turns out they all quit, because being a real man kind of sucked.",0.7664105
10553,"If you weren't here, he would fix everything in three fucking days.""",0.9566069
7208,"Indonesia is a country of 230 million people, additionally there is a large diaspora worldwide, also in the region, Malaysia, The Philippines, Singapore and Thailand also allow or encourage damaging or the cutting of babies' and girls genitals.",0.76644164
12472,"Not that there’s anything wrong with antiques, but the job sucked.",0.82994086
6585,Liberal GQ Magazine Writer on Mother of Benghazi Victim: ‘I would like to beat her to death’,0.8769725
22713,"A commuter was left in shock after she was given a card by a stranger calling her a 'fat, ugly human.'",0.87185377
4602,"With a sense of fair play, I’m putting my grumpiness on hiatus and deleting the juicy bits.",0.5030867
991,The shootings of the police officers were retaliation for a July 20 suicide bombing in the border town of Suruc that killed at least 32 people.,0.5358163
10381,"My back is to the outboard side of the ship, and the morning sun is blazing in one of the portholes putting a big bright-ass circle of light right on his barely conscious face.",0.8311046
838,"“And if there is an outlier, it could cost someone their life, or cause permanent damage for a child.”",0.5644341
15996,"By the time Katrina hit, five years in, we pretty much just threw up our hands and said, ""Fuck it, this sucks.",0.95845133
13778,I guess there was also a group of strippers the local strip club hired who would do sit-ups and push-ups and chin-ups with their fake tits and big strong pussy exposed and I didn’t really dig it.,0.93907696
5888,"Republican headquarters in Fayette County, Kentucky were vandalized with “die nazi” and “nazi scum” sprayed onto their windows.",0.7671037
8854,"Yes, you can totally cook frozen chicken breasts in 10 minutes using an Instant Pot!",0.8440753
17682,"“Sadly it’s just a load of short video clips of people having minor accidents, and horny little bastards threatening to beat each other up.",0.8746795
3606,Makes me long even more for a masterwork engraving of Dishmab beheading a Grey Fiend in hell while bathed in its flames....,0.5332615
14028,"Almost immediately, a New York accented voice exclaims angrily, “Aye, fuck you!”.",0.9685746
2308,"If immigrants, including masses of “illegal aliens” from Mexico, are so damned dangerous, why isn’t Trump’s hometown of New York City the scariest hellhole in the country?",0.53490233
8078,"The Trump supporter's counter-claim involved a video seemingly showing President Obama demanding ""ribs and pussy too"" that was circulated on social media along with several false or misleading claims.",0.8372001
6982,Audio 20 mf US Cuties Lindsey Cruz & Veronica Valentine Fucking LIVE Feb 26 5pm,0.83785176
22506,"It’s also a fact that orgasms after anal sex are a lot stronger than those that come from vaginal sex, and over 90% of women that have had anal in their last sexual encounter had an orgasm, which is a very important metric to keep in mind.",0.8247765
19498,People who say “So I turned around and said… and then they turned around and said…” giving the impression of two people spinning round and round while having a moronic conversation.,0.7873907
11076,"Or it could, in proud Daily Show tradition, give us just another dumb animal video.",0.8709386
12775,zak replying to the “thx dude” tweet with “TBH Austin was always an asshole to me. I lo,0.9023446
24229,"I said to myself, Gene, ain’t nothin’ those lousy Socialist bastards in Europe can teach the inventor of the cheese carburetor.",0.9088521
2998,The misinformation you are receiving should be an insult to your intelligence.,0.59154856
4782,"There was a time when rowdy pick-up soccer games took place on the Ellipse in front of the White House, when a powerful leg could damn near reach the Rose Garden.",0.5909619
11105,I don't know about the rest of Bill's male anatomy (ewww) but I do know that he has some mighty big cojones.,0.85669565
2683,They were specifically worried that the former president would be compared to rapist Bill Cosby,0.50486743
9613,"Blige tune “Stay With Me” called “Fag Marriage, It Can’t Be,” and in a parody of Green Day’s “American Idiot”: “You wanna be an American sodomite/One nation controlled by fag media.”",0.9042132
5018,"But before they die, parasites eat their brains, and they go completely fucking crazy, and they storm the hospital, but the hospital cant handle all the casualties, so these people rape all the nurses and set the hospital on fire.",0.5316274
9726,"In one wiretapped conversation, Mark Brener, the ring's leader, complained that one of his hookers looked like a ""butcher.""",0.8452049
17354,"He was also, in the view of the Clinton campaign, circa August 2015, a “smug,” “pompous,” loathsome guy whom a reasonable person might wish “to kick the shit out of on Twitter.”",0.8999058
10966,"-Both LSU and Florida are still taking too many penalties, many of them of the stupid variety.",0.8028341
15993,"The first time 14-year-old Elizabeth Smart was raped, she wanted to kill herself.",0.7869035
15237,"The people who are in the streets rioting and looting, as opposed to peaceful protesters, business owners or just law-abiding citizens, are human garbage.",0.89996433
14168,"If you think Boot Camp and SOI have put you on the same operational plane as a Green Beret, CCT, Ranger, CSO or SEAL, then you have really bought into that recruitment commercial of some PFC slaying a dragon with a fucking NCO sword!",0.9053082
14050,"This deck is perfectly summed up by what my buddy said as he scooped, ""F**k this, man, you have a response for EVERYTHING!""",0.91815776
226,Some Republicans want to protect business owners’ right to discriminate against gay people.,0.5931138
1378,"""I don't think they want to fight us, I don't think they want to kill Americans,"" Neller said of Russia.",0.55493635
5986,"“We will deal a telling blow at the (South Korean) army to make it pay a very high price for its foolish provocation as it is keen on staging ‘psychological warfare against the North’ in alignment with human scum,” it said.",0.8323557
6421,"In a tweet today, Santorum walked it back, with a link to the Politico article: “This article is garbage.All I said was- she is VERY busy, PERIOD.",0.7746733
11040,"""He’s too busy getting the middle class to hate rich people, blacks to hate whites.",0.93276805
22768,Not only did he praise a mass murderer; he implored all gays to be killed by firing squad.,0.80141914
2480,"She talks about a new video clip that's making the rounds that features ""hot women pandering to nerds"" — stars like Annalynne McCord, Megan Fox, Mila Kunis, and Rosario Dawson as they talk about their nerdy faces in entertainment.",0.5352704
15374,"He also reportedly told the victim, “I’m gonna kill you” and “It’s our job to take out f*****s like you!”",0.8028341
3807,"Overall, the median net worth of whites in the study was $265,000 in 2009, compared with $28,500 for blacks.",0.5310423
18995,You are a member of a mysterious order of assassins where you have trained your whole life to do one thing and one thing only – to kill.,0.8968538
13502,"Stone’s supporters argue that his tweets are no worse than those of other, more liberal, personalities, including Keith Olbermann, who has called President Trump a “stupid, pea-brained, motherfucking traitor” on Twitter.",0.9619858
247,"Florida State receiver Travis Rudolph brightened up the day of a boy with autism, so much so he made the boy’s mother cry.",0.53590477
4208,"At least seven of the victims said that Stancl, posing as a girl, threatened to post their nude pictures on the internet or send them to their friends unless they engaged in sexual activity with a male friend of ""hers.""",0.5315929
19330,"Stripped of everything that defined him as a part of the world, there was one more thing that Dick Whitman had to leave behind.",0.83785176
5248,"Before we begin, let's get this out of the way: Your vagina is supposed to have a smell, despite what rude sexual partners or all those companies that make weird crotch perfumes may have told you in the past.",0.50371027
1910,The grand conspiracy of “Whiteness” is defined by these lunatics as:,0.56880116
13219,Japanese YouTube user inosemarine is internet-famous for a very specific and delightful reason: his dog is a total asshole.,0.91918796
16386,Republicans are now abandoning their nominee Donald Trump after public disclosure of his disgusting comments about grabbing women's genitals.,0.8757347
9894,"to which Pereira replied “You’ve missed it”, referring to the boarding call, and when asked again to let them board, he then replied, “I’m from Argentina, so f*** you.”",0.83785176
9441,"Michael Cranston, who has worked for the tax office for over three decades, will be charged with abusing his position as a public official relating to the alleged fraud, although it is his son Adam that is in a lot more fucking shit.",0.933249
23910,"He then goes on to ask the girls if they masturbate, how frequently they masturbate, what they do to excite themselves, what it felt like to masturbate for the first time and if they have been caught red-handed ever.",0.8715903
15085,"I know a little about — it’s like when the pope talks about vaginas, you know.",0.9115286
10803,It is not known how exactly the man managed to get his penis stuck in the plate.,0.9183146
20214,"I thought, if I can't sell a Bible to this woman, Jesus, who in all of God's fucking kingdom can I sell one to?",0.9321229
12576,"shower room’s are only used for taking shower and washing your body, you cant poop in it (don’t shit in the shower rooms).",0.8911017
13171,A judge has slammed prosecutors for wasting public money after they took a woman to crown court for calling someone a 'pussy'.,0.83589715
11314,"To uncover the orgasm's secrets, researchers are looking beyond the clitoris, vagina, penis and prostate, to the place behind the scenes where the true magic happens.",0.8913175
8728,You can vote today in a pair of quarter-final matches guaranteed to split your geek brain asunder.,0.78573966
13920,Avengers actor Mark Ruffalo says those who do not identify themselves as feminists are “ignorant little jerks.”,0.90137184
15208,I've realized the fact that in this business no matter what you do some guy's gonna think your complete idiot so it's better for me Stan often that's I guess I got no doubt about it I.,0.90154976
16908,"So we're putting out a Death From Above record and if the press is like, 'It's not what we expected,' or however they react to it, it's like, 'Well, you've been fucking asking for it.'""",0.8028341
22620,He knew immediately that his average size and pisspoor fighting techniques would be no match for Greg Gregerson and the penis boys.,0.8381057
6044,"But at least 100 protesters gathered in the nearby Cihangir neighbourhood, beating drums and chanting: ‘Don’t be quiet, shout out, gays exist!’",0.76694417
2399,A commonly used follow-up for the Krumphauw is a short-edge cut to the head.,0.5184325
2865,"YOU may not know it, but you could be on the hook to pay at least $124 this year for a drug you probably don’t take.",0.55307335
3669,"“The real menace of our Republic is the invisible government, which like a giant octopus sprawls its slimy legs over our cities, states and nation. . . .",0.52676105
20633,"Fuck This is Why You’re Fat and Shit My Dad Says and Texts From Last Night and Dealbreakers… let’s talk about someone giving me a book deal for my sad, pathetic memoirs entitled “Some Fucking Bullshit Ass Online Dating Shit: A Book” to be created from http://blog.kiamatthews.com/tagged/online_dating",0.9565846
17574,By now you could mention the name John Hagee and immediately most people would quickly associate it with the term “great whore.”,0.83785176
4276,"I’m not talking about the White House press secretary’s claim Tuesday that Adolf Hitler didn’t use poison gas, at least not against his “own people,” even if the Nazis did send Jews to “Holocaust centers.”",0.53146076
15462,"I came out after work to see what was going on, and I ended up spending 2 hours walking amongst “the enemy”: the Trump supporters and Ann Coulter fans who came out for “the fuck ANTIFA rally.”",0.9212321
23278,"Also in the video, they appeared to be saying ""f*ck Trump, f*ck white people,"" as they showed no mercy to the teen.",0.89661777
15872,Boa’s drag alter ego is BOA — his last name and an acronym for “Bitch on Arrival.”,0.8389437
3220,I would hate my hometown and home state to go down in history as the place where suburbanites valued their dogs above the lives of those they hire to tend their yards.”,0.5173007
10611,Often they are just paired together…but why not a ramen-sushi fuck orgy?,0.9500322
19662,"""When he was running, he said 'I want to kill more people, I want to kill more Muslims,'"" he said.",0.9044873
