index,input_text,given_label
35461,"Wow, I love hockey, but I now despise the Calgary Flames.  Talk about elitism.  Nobody needs to give you greedy pricks anything.  Don't like it, leave!  Great job Nenshi.  Don't budge an inch.  These owners are scum!",0.8035714
6887,A truly sh***y lack of consideration.  I so hope she gets her nose publicly rubbed in her mess.,0.54545456
34039,"Again, you are also totally ignoring the reality of what was going on when this student sought medical assistance.

There was already a documented  outbreak of meningitis underway at the University of Oregon, when this student sought help.  The outbreak was the daily top headline for the Register Guard at that time, as well as being the lead story on our local TV News programs.  Common sense would have been to take that fact into consideration in treating her.  

The medical staff that treated her were absolute idiots.",0.8333333
37223,"No doubt you say the words that I posted.  I'll post them again, especially since they apply to you as well: ""I'll say whatever idiotic comment I want for my agenda, regardless of its stupidity""
Deal with it, and if you try to claim that what Kat35 said isn't ridiculous, you're just as stupid as she is.",0.85714287
22137,"I'm looking forward to seeing the circus surrounding this policy change. If it's anything like the handling of Trump's previous Executive Orders, a left leaning Federal judge will impose ""the will of the American people"" to prevent the order. Next we will have Justin putting on his big boy pants and no shirt to look all tough with Trump. Possibly this could all lead to a cage match between Trudeau and Trump and Nieto to decide the future of NAFTA. We have three clowns deciding the future of the North American economy. What a scary thought!",1.0
4237,Many Europeans were just as anti-Semitic as the Nazis. This makes me sick.,0.5875
19834,geeze louise...   man..   the idiotic arguments that I read here just make me shake my head,0.8032787
24287,"People aren't shocked that the Trumpster can easily undo the agreement, they're shocked that anyone could be so stupid.",0.975
23391,"it is total stupidity by blind left wing sheep like you to see the obvious bad left wing policies the right are against!,, no we would not be saying they are 95%  etc, we would be screaming at them for being so alt left! ,, now for your education on the bad policies the right would never do to alberta:

Raised business taxes by 20%, hurts the economy and jobs!
Introduced large personal income tax increases, hurts the economy and jobs!
Increasing gas and carbon taxes by $10 billion over the ext five years.  
Introduced radical reforms to the province’s electricity sector – changes which some experts have suggested could lead to a tripling of rates. 
Recklessly commitment to raise the minimum wage from $10.20 to $15.00 by 2018. How can businesses afford a 47% increase to labour costs in just four years in the middle of a recession?

see its not hard to see all the damage vie bad policy if you just take off your blinders lefty!",0.9
17977,"Your post is really stupid, but you are too ignorant to realize it.",0.9230769
